GUID_A;GUID_B;Label_Type;;;Lese Datei ein ./Analysemodelle/21_22 L_TWP_Tragwerksmodell 0D Ausr Anschluss.xlsx... 
11LIOS6UT1jPfP2Xwl8$N3;2Xg$vq1dn3KfUc$UCRuFQG;Total;;;Recall:    0.9412 (94.12 %)
1hgBp2TmzEvRr5FjNo8rJP;1i5Ld_9wn3muR6HLudOdm9;Total;;;F1-Score:  0.9697
1jCdPvHrD8c8FBvx8tV5Td;27HhqnJu9B0vRyQqfPdiu$;Total;;;==================================================
1i5Ld_9wn3muR6HLudOdm9;39GcRhJJ92$QgPLAjTa$Kp;Total;;;
16GSwL2a1FPPVw1Djul6P4;2tlYZj4hDBZhpPGzvC86Hp;Total;;;
0DcfEzgfT50QU_ZLU5eZ2D;3bSKFgKqX5w8m0D_9lXbyJ;Total;;;
0bhY5dK5b2D9cAfPa6iciI;3XDScaZEv2LwJxlrkQ5wPf;Total;;;
0VwupX169CwxxSeRdb09NA;34hNs6SCP5KeiMUm2ucF9o;Total;;;
1cOJ$PkQ150edVMhMxHRUv;3X7$pZ_e99fhYGXKMCln7S;Total;;;
0JeEfxCcX0GuqDB$sitER$;0PNJtCD$5F6hK376rO4h89;Total;;;
0zxMsMeFf3Vw37tVbf0qlT;34hNs6SCP5KeiMUm2ucF9o;Total;;;
1jCdPvHrD8c8FBvx8tV5Td;2tlYZj4hDBZhpPGzvC86Hp;Total;;;
16GSwL2a1FPPVw1Djul6P4;3P36g6cvz5C8rdWZO85c$I;Total;;;
0gQaaatRz29hdrFtHOSgqG;1clm38N0r2PedYDEb3C372;Total;;;ZUM VERGLEICH WENN ALLE SAF-DOPPLUNGEN NICHT ENTFERNT WERDEN
34hNs6SCP5KeiMUm2ucF9o;3JphQBs7r2eOJrAQP3hHpB;Total;;;Lese Datei ein SAF_Analyse_Test.xlsx... 
0Z1wBDxbH6xeayFutzfara;39$D4p3RvDeBum6XvJnHqf;Total;;;
2rYjDpq0H5GAJH2GD9zejy;3qi6phczP7OuCtM2O$2tWc;Total;;;Gefundene einzigartige IFC-Bauteile: 90 
0JeEfxCcX0GuqDB$sitER$;32BGFhErj7SRU5qku9pooD;Total;;;Generierte Total_Labels (Alle möglichen Kanten): 4005 
1jCdPvHrD8c8FBvx8tV5Td;3P36g6cvz5C8rdWZO85c$I;Total;;;Generierte GT_Labels: 367 
0PNJtCD$5F6hK376rO4h89;3Qywk57ff2geGRN0NrOnUR;Total;;;Generierte Rule_Labels: 347 
3Qywk57ff2geGRN0NrOnUR;3X7$pZ_e99fhYGXKMCln7S;Total;;;
1JCJhZImvB$AxeIVYMyC9n;1cOJ$PkQ150edVMhMxHRUv;Total;;;>>> ERFOLG: GNN-Labels wurden in 'gnn_labels.csv' und 'gnn_labels.json' gespeichert. <<<
0PNJtCD$5F6hK376rO4h89;1hgBp2TmzEvRr5FjNo8rJP;Total;;;
2rYjDpq0H5GAJH2GD9zejy;2yLI$bp2n6tOR$yBmR5iTh;Total;;;=== AUSWERTUNG DER KONVERTER-REGELN (Metriken) ===
1kRKeXrvr2OAul$zbdfUDJ;2yLI$bp2n6tOR$yBmR5iTh;Total;;;True Positives (TP):  347    (Richtig erkannt)
1cTAfCfsr7NPSOP5xgRVBm;3VvN1KmEn7zxWm85XNr_n_;Total;;;True Negatives (TN):  3638   (Richtig ignoriert)
1XbqrhNIz4jQKQmvfxrbMP;2bb9iaRDP1w9M3PVy4bmdR;Total;;;False Positives (FP): 0      (Zu viel verbunden)
2kiyiQ2lvENBFDb4gK8tQf;34hNs6SCP5KeiMUm2ucF9o;Total;;;False Negatives (FN): 20     (Vergessen)
2Xg$vq1dn3KfUc$UCRuFQG;2rYjDpq0H5GAJH2GD9zejy;Total;;;--------------------------------------------------
1JCJhZImvB$AxeIVYMyC9n;39GcRhJJ92$QgPLAjTa$Kp;Total;;;Accuracy:  0.9950 (99.50 %)
13Ov1SoL12y91pIvszNN_U;29iu0xDujB5udMvw4Reg0L;Total;;;Precision: 1.0000 (100.00 %)
0JeEfxCcX0GuqDB$sitER$;1d6xcPEtPAzvc4tfKRn0gC;Total;;;Recall:    0.9455 (94.55 %)
0tMvCeo_z2Qg9N35jwDJZo;3lBnM_5azBh9$8ISQy6OFQ;Total;;;F1-Score:  0.9720
0VwupX169CwxxSeRdb09NA;3JkBa6TvX0rAtVF3Zi2l85;Total;;;
0zxMsMeFf3Vw37tVbf0qlT;1XbqrhNIz4jQKQmvfxrbMP;Total;;;
1i5Ld_9wn3muR6HLudOdm9;3PjQ6W0RTDsB2_GNR_9Ci9;Total;;;
0DcfEzgfT50QU_ZLU5eZ2D;11rrb$dvv9rPYCxRwiCQNE;Total;;;
05ICfHt0b6jQGuYoY158kj;0PNJtCD$5F6hK376rO4h89;Total;;;
1STVORG453jR_3joKZXVHz;3X7$pZ_e99fhYGXKMCln7S;Total;;;
27HhqnJu9B0vRyQqfPdiu$;2bb9iaRDP1w9M3PVy4bmdR;Total;;;
0Z1wBDxbH6xeayFutzfara;1cTAfCfsr7NPSOP5xgRVBm;Total;;;
3PjQ6W0RTDsB2_GNR_9Ci9;3bSKFgKqX5w8m0D_9lXbyJ;Total;;;
1hgBp2TmzEvRr5FjNo8rJP;27HhqnJu9B0vRyQqfPdiu$;Total;;;
0LNv7Xum5FX89RO92ouCKV;3zNK4ljcH0xeJ0C6VAJdTa;Total;;;
1XbqrhNIz4jQKQmvfxrbMP;3$b3wIbhH17Oub111pkLDF;Total;;;
2Xg$vq1dn3KfUc$UCRuFQG;3VvN1KmEn7zxWm85XNr_n_;Total;;;
0Zps7UP6v15v_OX_A9sUCL;2Xg$vq1dn3KfUc$UCRuFQG;Total;;;
3PjQ6W0RTDsB2_GNR_9Ci9;3XDScaZEv2LwJxlrkQ5wPf;Total;;;
1AWCSdNsHB4wb9F_j8aGQm;1joREjP1XF7A1yiYCAtg7Q;Total;;;
1JCJhZImvB$AxeIVYMyC9n;3PjQ6W0RTDsB2_GNR_9Ci9;Total;;;
1joREjP1XF7A1yiYCAtg7Q;39$D4p3RvDeBum6XvJnHqf;Total;;;
1FwvCMrBP6hff0fESyXnhL;39$D4p3RvDeBum6XvJnHqf;Total;;;
1joREjP1XF7A1yiYCAtg7Q;3tQNSoEwH30OAuW0eJ8UrB;Total;;;
0VwupX169CwxxSeRdb09NA;0swePq8nLCnBPnmdwS2I4J;Total;;;
11LIOS6UT1jPfP2Xwl8$N3;3bSKFgKqX5w8m0D_9lXbyJ;Total;;;
0yrUlYlaD5iQH5qtvZru5c;11rrb$dvv9rPYCxRwiCQNE;Total;;;
0AWeagGxn4K8SQhuSKHnA$;0Zps7UP6v15v_OX_A9sUCL;Total;;;
1AWCSdNsHB4wb9F_j8aGQm;1USxzWmJbAEBiD6TqgjJ8f;Total;;;
0JeEfxCcX0GuqDB$sitER$;3Qywk57ff2geGRN0NrOnUR;Total;;;
0CI83dCJPExuUk6jHv_HqA;0dOhaXOZD7YQ9AJ0g$gWYC;Total;;;
27HhqnJu9B0vRyQqfPdiu$;3JphQBs7r2eOJrAQP3hHpB;Total;;;
27HhqnJu9B0vRyQqfPdiu$;3$b3wIbhH17Oub111pkLDF;Total;;;
0JeEfxCcX0GuqDB$sitER$;1hgBp2TmzEvRr5FjNo8rJP;Total;;;
1cTAfCfsr7NPSOP5xgRVBm;1g$zlNVOH0yxxNDZPAYtcw;Total;;;
1clm38N0r2PedYDEb3C372;3rjgs85Xr5WAujYpuVT5__;Total;;;
1AWCSdNsHB4wb9F_j8aGQm;37Hi8j$3b5cwoX$KEiBpUC;Total;;;
1cTAfCfsr7NPSOP5xgRVBm;2KjJ0ItYT0xODkZHVwv9bj;Total;;;
2Xg$vq1dn3KfUc$UCRuFQG;34hNs6SCP5KeiMUm2ucF9o;Total;;;
3$b3wIbhH17Oub111pkLDF;3VvN1KmEn7zxWm85XNr_n_;Total;;;
06Pte0Tcj2TOJl7uUBr1ga;0VwupX169CwxxSeRdb09NA;Total;;;
0CI83dCJPExuUk6jHv_HqA;3lBnM_5azBh9$8ISQy6OFQ;Total;;;
0WvlS_ohz6$xaCwFgUyPtZ;1vARaIIRj0oRX2pyhHuzDt;Total;;;
39$D4p3RvDeBum6XvJnHqf;3X7$pZ_e99fhYGXKMCln7S;Total;;;
1d6xcPEtPAzvc4tfKRn0gC;39GcRhJJ92$QgPLAjTa$Kp;Total;;;
1FwvCMrBP6hff0fESyXnhL;1cTAfCfsr7NPSOP5xgRVBm;Total;;;
0bhY5dK5b2D9cAfPa6iciI;1vARaIIRj0oRX2pyhHuzDt;Total;;;
0DcfEzgfT50QU_ZLU5eZ2D;0vHEzwKjT0sPHEY5dCh3WS;Total;;;
1KeFpCeh5CM9s3cM_teNNz;3XDScaZEv2LwJxlrkQ5wPf;Total;;;
0bhY5dK5b2D9cAfPa6iciI;11LIOS6UT1jPfP2Xwl8$N3;Total;;;
0WvlS_ohz6$xaCwFgUyPtZ;2rYjDpq0H5GAJH2GD9zejy;Total;;;
1AWCSdNsHB4wb9F_j8aGQm;1jCdPvHrD8c8FBvx8tV5Td;Total;;;
0WvlS_ohz6$xaCwFgUyPtZ;16GSwL2a1FPPVw1Djul6P4;Total;;;
06Pte0Tcj2TOJl7uUBr1ga;29iu0xDujB5udMvw4Reg0L;Total;;;
2tlYZj4hDBZhpPGzvC86Hp;3P36g6cvz5C8rdWZO85c$I;Total;;;
0AWeagGxn4K8SQhuSKHnA$;0dOhaXOZD7YQ9AJ0g$gWYC;Total;;;
0dOhaXOZD7YQ9AJ0g$gWYC;3X7$pZ_e99fhYGXKMCln7S;Total;;;
27HhqnJu9B0vRyQqfPdiu$;39$D4p3RvDeBum6XvJnHqf;Total;;;
0gQaaatRz29hdrFtHOSgqG;13Ov1SoL12y91pIvszNN_U;Total;;;
3JphQBs7r2eOJrAQP3hHpB;3zNK4ljcH0xeJ0C6VAJdTa;Total;;;
2Xg$vq1dn3KfUc$UCRuFQG;3JkBa6TvX0rAtVF3Zi2l85;Total;;;
0vHEzwKjT0sPHEY5dCh3WS;29iu0xDujB5udMvw4Reg0L;Total;;;
0AWeagGxn4K8SQhuSKHnA$;3lBnM_5azBh9$8ISQy6OFQ;Total;;;
0WJI2Y7_53_AFuVQRhjK7k;20Kp$Io2zDy9xUuhHJ8Q63;Total;;;
20Kp$Io2zDy9xUuhHJ8Q63;39$D4p3RvDeBum6XvJnHqf;Total;;;
0CI83dCJPExuUk6jHv_HqA;0LNv7Xum5FX89RO92ouCKV;Total;;;
0Zps7UP6v15v_OX_A9sUCL;3bSKFgKqX5w8m0D_9lXbyJ;Total;;;
0WvlS_ohz6$xaCwFgUyPtZ;3VvN1KmEn7zxWm85XNr_n_;Total;;;
0Z1wBDxbH6xeayFutzfara;39GcRhJJ92$QgPLAjTa$Kp;Total;;;
1d6xcPEtPAzvc4tfKRn0gC;3PjQ6W0RTDsB2_GNR_9Ci9;Total;;;
2rYjDpq0H5GAJH2GD9zejy;37Hi8j$3b5cwoX$KEiBpUC;Total;;;
1kRKeXrvr2OAul$zbdfUDJ;37Hi8j$3b5cwoX$KEiBpUC;Total;;;
1cOJ$PkQ150edVMhMxHRUv;1kRKeXrvr2OAul$zbdfUDJ;Total;;;
0gQaaatRz29hdrFtHOSgqG;39$D4p3RvDeBum6XvJnHqf;Total;;;
3XDScaZEv2LwJxlrkQ5wPf;3rjgs85Xr5WAujYpuVT5__;Total;;;
1USxzWmJbAEBiD6TqgjJ8f;2Z5WWI_LD3aBiSmfDoWx$G;Total;;;
19ovyKHuv1gxTe7IVaF5zo;1vARaIIRj0oRX2pyhHuzDt;Total;;;
0VwupX169CwxxSeRdb09NA;32BGFhErj7SRU5qku9pooD;Total;;;
16GSwL2a1FPPVw1Djul6P4;3lBnM_5azBh9$8ISQy6OFQ;Total;;;
0PNJtCD$5F6hK376rO4h89;27HhqnJu9B0vRyQqfPdiu$;Total;;;
3$b3wIbhH17Oub111pkLDF;3JkBa6TvX0rAtVF3Zi2l85;Total;;;
0swePq8nLCnBPnmdwS2I4J;3XDScaZEv2LwJxlrkQ5wPf;Total;;;
19ovyKHuv1gxTe7IVaF5zo;2rYjDpq0H5GAJH2GD9zejy;Total;;;
0PNJtCD$5F6hK376rO4h89;0yrUlYlaD5iQH5qtvZru5c;Total;;;
1jCdPvHrD8c8FBvx8tV5Td;3lBnM_5azBh9$8ISQy6OFQ;Total;;;
0PNJtCD$5F6hK376rO4h89;2tlYZj4hDBZhpPGzvC86Hp;Total;;;
0AWeagGxn4K8SQhuSKHnA$;0LNv7Xum5FX89RO92ouCKV;Total;;;
0PNJtCD$5F6hK376rO4h89;3P36g6cvz5C8rdWZO85c$I;Total;;;
0VwupX169CwxxSeRdb09NA;1d6xcPEtPAzvc4tfKRn0gC;Total;;;
0zxMsMeFf3Vw37tVbf0qlT;1d6xcPEtPAzvc4tfKRn0gC;Total;;;
0WvlS_ohz6$xaCwFgUyPtZ;34hNs6SCP5KeiMUm2ucF9o;Total;;;
34hNs6SCP5KeiMUm2ucF9o;39GcRhJJ92$QgPLAjTa$Kp;Total;;;
3qi6phczP7OuCtM2O$2tWc;3rjgs85Xr5WAujYpuVT5__;Total;;;
0bhY5dK5b2D9cAfPa6iciI;34hNs6SCP5KeiMUm2ucF9o;Total;;;
1AWCSdNsHB4wb9F_j8aGQm;2Xg$vq1dn3KfUc$UCRuFQG;Total;;;
0Z1wBDxbH6xeayFutzfara;3PjQ6W0RTDsB2_GNR_9Ci9;Total;;;
29iu0xDujB5udMvw4Reg0L;3P36g6cvz5C8rdWZO85c$I;Total;;;
0gQaaatRz29hdrFtHOSgqG;1cTAfCfsr7NPSOP5xgRVBm;Total;;;
3JkBa6TvX0rAtVF3Zi2l85;3VvN1KmEn7zxWm85XNr_n_;Total;;;
19ovyKHuv1gxTe7IVaF5zo;3VvN1KmEn7zxWm85XNr_n_;Total;;;
05ICfHt0b6jQGuYoY158kj;1i5Ld_9wn3muR6HLudOdm9;Total;;;
1joREjP1XF7A1yiYCAtg7Q;39GcRhJJ92$QgPLAjTa$Kp;Total;;;
1FwvCMrBP6hff0fESyXnhL;39GcRhJJ92$QgPLAjTa$Kp;Total;;;
0WvlS_ohz6$xaCwFgUyPtZ;1g$zlNVOH0yxxNDZPAYtcw;Total;;;
0WvlS_ohz6$xaCwFgUyPtZ;3JkBa6TvX0rAtVF3Zi2l85;Total;;;
1cTAfCfsr7NPSOP5xgRVBm;2YJhYNSNX4MBm47Tp6_Asb;Total;;;
2Z5WWI_LD3aBiSmfDoWx$G;3JphQBs7r2eOJrAQP3hHpB;Total;;;
1joREjP1XF7A1yiYCAtg7Q;2kiyiQ2lvENBFDb4gK8tQf;Total;;;
2ebfycBi9CsBWp$kyi9U1H;3tQNSoEwH30OAuW0eJ8UrB;Total;;;
1KeFpCeh5CM9s3cM_teNNz;1vARaIIRj0oRX2pyhHuzDt;Total;;;
0WvlS_ohz6$xaCwFgUyPtZ;2KjJ0ItYT0xODkZHVwv9bj;Total;;;
0bhY5dK5b2D9cAfPa6iciI;3JkBa6TvX0rAtVF3Zi2l85;Total;;;
32BGFhErj7SRU5qku9pooD;3JphQBs7r2eOJrAQP3hHpB;Total;;;
2YJhYNSNX4MBm47Tp6_Asb;2bb9iaRDP1w9M3PVy4bmdR;Total;;;
34hNs6SCP5KeiMUm2ucF9o;3PjQ6W0RTDsB2_GNR_9Ci9;Total;;;
1XbqrhNIz4jQKQmvfxrbMP;1cOJ$PkQ150edVMhMxHRUv;Total;;;
0DcfEzgfT50QU_ZLU5eZ2D;1XbqrhNIz4jQKQmvfxrbMP;Total;;;
11rrb$dvv9rPYCxRwiCQNE;1g$zlNVOH0yxxNDZPAYtcw;Total;;;
0tMvCeo_z2Qg9N35jwDJZo;1clm38N0r2PedYDEb3C372;Total;;;
0ZRnr2akj4$Rx4oWTxfcJt;1i5Ld_9wn3muR6HLudOdm9;Total;;;
0JeEfxCcX0GuqDB$sitER$;27HhqnJu9B0vRyQqfPdiu$;Total;;;
1hgBp2TmzEvRr5FjNo8rJP;3lBnM_5azBh9$8ISQy6OFQ;Total;;;
0KUOsgQ1b1EPlgC_Zyzjp0;20Kp$Io2zDy9xUuhHJ8Q63;Total;;;
0JeEfxCcX0GuqDB$sitER$;0yrUlYlaD5iQH5qtvZru5c;Total;;;
37Hi8j$3b5cwoX$KEiBpUC;3bSKFgKqX5w8m0D_9lXbyJ;Total;;;
19ovyKHuv1gxTe7IVaF5zo;34hNs6SCP5KeiMUm2ucF9o;Total;;;
0JeEfxCcX0GuqDB$sitER$;2tlYZj4hDBZhpPGzvC86Hp;Total;;;
1kRKeXrvr2OAul$zbdfUDJ;2Xg$vq1dn3KfUc$UCRuFQG;Total;;;
1cTAfCfsr7NPSOP5xgRVBm;2ebfycBi9CsBWp$kyi9U1H;Total;;;
0JeEfxCcX0GuqDB$sitER$;3P36g6cvz5C8rdWZO85c$I;Total;;;
37Hi8j$3b5cwoX$KEiBpUC;3XDScaZEv2LwJxlrkQ5wPf;Total;;;
1FwvCMrBP6hff0fESyXnhL;3PjQ6W0RTDsB2_GNR_9Ci9;Total;;;
13Ov1SoL12y91pIvszNN_U;1STVORG453jR_3joKZXVHz;Total;;;
2Xg$vq1dn3KfUc$UCRuFQG;32BGFhErj7SRU5qku9pooD;Total;;;
0Zps7UP6v15v_OX_A9sUCL;0vHEzwKjT0sPHEY5dCh3WS;Total;;;
2Xg$vq1dn3KfUc$UCRuFQG;2YJhYNSNX4MBm47Tp6_Asb;Total;;;
2Z5WWI_LD3aBiSmfDoWx$G;39$D4p3RvDeBum6XvJnHqf;Total;;;
0bhY5dK5b2D9cAfPa6iciI;0swePq8nLCnBPnmdwS2I4J;Total;;;
1KeFpCeh5CM9s3cM_teNNz;3VvN1KmEn7zxWm85XNr_n_;Total;;;
27HhqnJu9B0vRyQqfPdiu$;39GcRhJJ92$QgPLAjTa$Kp;Total;;;
2YJhYNSNX4MBm47Tp6_Asb;3JphQBs7r2eOJrAQP3hHpB;Total;;;
2YJhYNSNX4MBm47Tp6_Asb;3$b3wIbhH17Oub111pkLDF;Total;;;
32BGFhErj7SRU5qku9pooD;39$D4p3RvDeBum6XvJnHqf;Total;;;
19ovyKHuv1gxTe7IVaF5zo;1g$zlNVOH0yxxNDZPAYtcw;Total;;;
0WJI2Y7_53_AFuVQRhjK7k;3zNK4ljcH0xeJ0C6VAJdTa;Total;;;
19ovyKHuv1gxTe7IVaF5zo;3JkBa6TvX0rAtVF3Zi2l85;Total;;;
05ICfHt0b6jQGuYoY158kj;27HhqnJu9B0vRyQqfPdiu$;Total;;;
0WJI2Y7_53_AFuVQRhjK7k;1i5Ld_9wn3muR6HLudOdm9;Total;;;
1i5Ld_9wn3muR6HLudOdm9;3XDScaZEv2LwJxlrkQ5wPf;Total;;;
13Ov1SoL12y91pIvszNN_U;1KeFpCeh5CM9s3cM_teNNz;Total;;;
05ICfHt0b6jQGuYoY158kj;0yrUlYlaD5iQH5qtvZru5c;Total;;;
0swePq8nLCnBPnmdwS2I4J;1vARaIIRj0oRX2pyhHuzDt;Total;;;
19ovyKHuv1gxTe7IVaF5zo;2KjJ0ItYT0xODkZHVwv9bj;Total;;;
0swePq8nLCnBPnmdwS2I4J;11LIOS6UT1jPfP2Xwl8$N3;Total;;;
2tlYZj4hDBZhpPGzvC86Hp;3lBnM_5azBh9$8ISQy6OFQ;Total;;;
20Kp$Io2zDy9xUuhHJ8Q63;39GcRhJJ92$QgPLAjTa$Kp;Total;;;
1cTAfCfsr7NPSOP5xgRVBm;3Qywk57ff2geGRN0NrOnUR;Total;;;
13Ov1SoL12y91pIvszNN_U;2yLI$bp2n6tOR$yBmR5iTh;Total;;;
1cTAfCfsr7NPSOP5xgRVBm;1hgBp2TmzEvRr5FjNo8rJP;Total;;;
3$b3wIbhH17Oub111pkLDF;32BGFhErj7SRU5qku9pooD;Total;;;
0gQaaatRz29hdrFtHOSgqG;39GcRhJJ92$QgPLAjTa$Kp;Total;;;
0ZRnr2akj4$Rx4oWTxfcJt;0bhY5dK5b2D9cAfPa6iciI;Total;;;
1KeFpCeh5CM9s3cM_teNNz;34hNs6SCP5KeiMUm2ucF9o;Total;;;
0CI83dCJPExuUk6jHv_HqA;1clm38N0r2PedYDEb3C372;Total;;;
2YJhYNSNX4MBm47Tp6_Asb;39$D4p3RvDeBum6XvJnHqf;Total;;;
3JphQBs7r2eOJrAQP3hHpB;3X7$pZ_e99fhYGXKMCln7S;Total;;;
1JCJhZImvB$AxeIVYMyC9n;3XDScaZEv2LwJxlrkQ5wPf;Total;;;
27HhqnJu9B0vRyQqfPdiu$;3PjQ6W0RTDsB2_GNR_9Ci9;Total;;;
3P36g6cvz5C8rdWZO85c$I;3qi6phczP7OuCtM2O$2tWc;Total;;;
06Pte0Tcj2TOJl7uUBr1ga;0WJI2Y7_53_AFuVQRhjK7k;Total;;;
11LIOS6UT1jPfP2Xwl8$N3;1XbqrhNIz4jQKQmvfxrbMP;Total;;;
2bb9iaRDP1w9M3PVy4bmdR;3$b3wIbhH17Oub111pkLDF;Total;;;
1STVORG453jR_3joKZXVHz;1clm38N0r2PedYDEb3C372;Total;;;
1clm38N0r2PedYDEb3C372;2rYjDpq0H5GAJH2GD9zejy;Total;;;
1XbqrhNIz4jQKQmvfxrbMP;37Hi8j$3b5cwoX$KEiBpUC;Total;;;
0Z1wBDxbH6xeayFutzfara;3rjgs85Xr5WAujYpuVT5__;Total;;;
0PNJtCD$5F6hK376rO4h89;0dOhaXOZD7YQ9AJ0g$gWYC;Total;;;
0tMvCeo_z2Qg9N35jwDJZo;1AWCSdNsHB4wb9F_j8aGQm;Total;;;
0zxMsMeFf3Vw37tVbf0qlT;1i5Ld_9wn3muR6HLudOdm9;Total;;;
2Xg$vq1dn3KfUc$UCRuFQG;3Qywk57ff2geGRN0NrOnUR;Total;;;
20Kp$Io2zDy9xUuhHJ8Q63;3PjQ6W0RTDsB2_GNR_9Ci9;Total;;;
1KeFpCeh5CM9s3cM_teNNz;3JkBa6TvX0rAtVF3Zi2l85;Total;;;
1kRKeXrvr2OAul$zbdfUDJ;3bSKFgKqX5w8m0D_9lXbyJ;Total;;;
0gQaaatRz29hdrFtHOSgqG;3PjQ6W0RTDsB2_GNR_9Ci9;Total;;;
1KeFpCeh5CM9s3cM_teNNz;2KjJ0ItYT0xODkZHVwv9bj;Total;;;
2yLI$bp2n6tOR$yBmR5iTh;3JphQBs7r2eOJrAQP3hHpB;Total;;;
0AWeagGxn4K8SQhuSKHnA$;1clm38N0r2PedYDEb3C372;Total;;;
2yLI$bp2n6tOR$yBmR5iTh;3$b3wIbhH17Oub111pkLDF;Total;;;
06Pte0Tcj2TOJl7uUBr1ga;1STVORG453jR_3joKZXVHz;Total;;;
0WJI2Y7_53_AFuVQRhjK7k;0bhY5dK5b2D9cAfPa6iciI;Total;;;
1XbqrhNIz4jQKQmvfxrbMP;1jCdPvHrD8c8FBvx8tV5Td;Total;;;
1g$zlNVOH0yxxNDZPAYtcw;20Kp$Io2zDy9xUuhHJ8Q63;Total;;;
0WvlS_ohz6$xaCwFgUyPtZ;32BGFhErj7SRU5qku9pooD;Total;;;
1cOJ$PkQ150edVMhMxHRUv;2bb9iaRDP1w9M3PVy4bmdR;Total;;;
0tMvCeo_z2Qg9N35jwDJZo;13Ov1SoL12y91pIvszNN_U;Total;;;
0PNJtCD$5F6hK376rO4h89;3lBnM_5azBh9$8ISQy6OFQ;Total;;;
0WvlS_ohz6$xaCwFgUyPtZ;2YJhYNSNX4MBm47Tp6_Asb;Total;;;
1clm38N0r2PedYDEb3C372;3VvN1KmEn7zxWm85XNr_n_;Total;;;
0bhY5dK5b2D9cAfPa6iciI;32BGFhErj7SRU5qku9pooD;Total;;;
0vHEzwKjT0sPHEY5dCh3WS;1STVORG453jR_3joKZXVHz;Total;;;
29iu0xDujB5udMvw4Reg0L;3lBnM_5azBh9$8ISQy6OFQ;Total;;;
0swePq8nLCnBPnmdwS2I4J;34hNs6SCP5KeiMUm2ucF9o;Total;;;
0KUOsgQ1b1EPlgC_Zyzjp0;3zNK4ljcH0xeJ0C6VAJdTa;Total;;;
0KUOsgQ1b1EPlgC_Zyzjp0;1i5Ld_9wn3muR6HLudOdm9;Total;;;
0WvlS_ohz6$xaCwFgUyPtZ;1d6xcPEtPAzvc4tfKRn0gC;Total;;;
2ebfycBi9CsBWp$kyi9U1H;3qi6phczP7OuCtM2O$2tWc;Total;;;
16GSwL2a1FPPVw1Djul6P4;1clm38N0r2PedYDEb3C372;Total;;;
3$b3wIbhH17Oub111pkLDF;3Qywk57ff2geGRN0NrOnUR;Total;;;
06Pte0Tcj2TOJl7uUBr1ga;1KeFpCeh5CM9s3cM_teNNz;Total;;;
0bhY5dK5b2D9cAfPa6iciI;1d6xcPEtPAzvc4tfKRn0gC;Total;;;
2ebfycBi9CsBWp$kyi9U1H;2kiyiQ2lvENBFDb4gK8tQf;Total;;;
2ebfycBi9CsBWp$kyi9U1H;2yLI$bp2n6tOR$yBmR5iTh;Total;;;
0vHEzwKjT0sPHEY5dCh3WS;1KeFpCeh5CM9s3cM_teNNz;Total;;;
2yLI$bp2n6tOR$yBmR5iTh;39$D4p3RvDeBum6XvJnHqf;Total;;;
0Zps7UP6v15v_OX_A9sUCL;1XbqrhNIz4jQKQmvfxrbMP;Total;;;
0LNv7Xum5FX89RO92ouCKV;1kRKeXrvr2OAul$zbdfUDJ;Total;;;
